type,id,center/lat,center/lon,nodes/0,nodes/1,nodes/2,nodes/3,nodes/4,nodes/5,nodes/6,nodes/7,nodes/8,nodes/9,nodes/10,nodes/11,nodes/12,nodes/13,nodes/14,nodes/15,nodes/16,nodes/17,nodes/18,nodes/19,nodes/20,nodes/21,nodes/22,nodes/23,nodes/24,nodes/25,nodes/26,nodes/27,nodes/28,nodes/29,tags/landuse,nodes/30,nodes/31,nodes/32,nodes/33,nodes/34,nodes/35,nodes/36,nodes/37,nodes/38,nodes/39,nodes/40,nodes/41,nodes/42,nodes/43,nodes/44,nodes/45,nodes/46,nodes/47,nodes/48,nodes/49,nodes/50,nodes/51,nodes/52,nodes/53,nodes/54,nodes/55,nodes/56,nodes/57,nodes/58,nodes/59,nodes/60,nodes/61,nodes/62,nodes/63,nodes/64,nodes/65,nodes/66,nodes/67,nodes/68,nodes/69,nodes/70,nodes/71,nodes/72,nodes/73,nodes/74,nodes/75,nodes/76,nodes/77,nodes/78,nodes/79,nodes/80,nodes/81,nodes/82,nodes/83,nodes/84,nodes/85,nodes/86,nodes/87,nodes/88,nodes/89,nodes/90,nodes/91,nodes/92,nodes/93,nodes/94,nodes/95,nodes/96,nodes/97,nodes/98,nodes/99,nodes/100,nodes/101,nodes/102,nodes/103,nodes/104,nodes/105,nodes/106,nodes/107,nodes/108,nodes/109,nodes/110,nodes/111,nodes/112,nodes/113,nodes/114,nodes/115,nodes/116,nodes/117,nodes/118,nodes/119,nodes/120,nodes/121,nodes/122,nodes/123,nodes/124,nodes/125,nodes/126,nodes/127,nodes/128,nodes/129,nodes/130,nodes/131,nodes/132,nodes/133,nodes/134,nodes/135,nodes/136,nodes/137,nodes/138,nodes/139,nodes/140,nodes/141,nodes/142,nodes/143,nodes/144,nodes/145,nodes/146,nodes/147,nodes/148,nodes/149,nodes/150,nodes/151,nodes/152,nodes/153,nodes/154,nodes/155,nodes/156,nodes/157,nodes/158,nodes/159,nodes/160,nodes/161,nodes/162,nodes/163,nodes/164,nodes/165,nodes/166,nodes/167,nodes/168,nodes/169,nodes/170,nodes/171,nodes/172,nodes/173,nodes/174,nodes/175,nodes/176,nodes/177,nodes/178,nodes/179,nodes/180,nodes/181,nodes/182,tags/crop,tags/int_name,tags/name,tags/name:en,tags/name:mk,tags/layer,tags/operator,tags/grape_variety,members/0/type,members/0/ref,members/0/role,members/1/type,members/1/ref,members/1/role,tags/type
way,180725214,41.3207237,22.1327745,1911824401,1911824447,1911824601,1911824687,1911824800,1911824380,1911825418,1911824505,1911824401,,,,,,,,,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,184757068,41.4888497,22.0336118,1952699795,1952699952,1952699789,1952699956,1952699594,1952699639,1952699678,1952699713,1952699765,1952699791,1952699951,1952699945,1952700008,1952699992,1952699990,1952699698,1952699680,1952699871,1952699857,1952699819,1952699996,1952699644,1952699987,1952699793,1952699936,1952699804,1952699701,1952699960,1952700009,1952699665,vineyard,1952699739,1952699903,1952699820,1952699779,1952699795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,184757069,41.4858321,22.0312622,1952700007,1952699939,1952699699,1952699621,1952699600,1952699781,1952699602,1952699757,1952699694,1952699596,1952699616,1952699612,1952699676,1952699653,1952699913,1952699877,1952699902,1952699635,1952700007,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,184757071,41.4824835,22.0363959,1952699671,1952699710,1952699727,1952699747,1952699719,1952699767,1952699940,1952699904,1952699875,1952699924,1952699942,1952699683,1952699657,1952699823,1952699687,1952699690,1952699723,1952699640,1952699654,1952699671,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,184757078,41.4729914,22.0365193,1952699619,1952699925,1952699741,1952699743,1952699830,1952699755,1952699685,1952699799,1952699749,1952699916,1952699778,1952699842,1952699947,1952699730,1952699981,1952699725,1952699629,1952699704,1952699745,1952699900,1952699821,1952699797,1952699738,1952699943,1952699918,1952699840,1952699906,1952699845,1952699982,1952699606,vineyard,1952699843,1952699869,1952699732,1952699817,1952699905,1952699988,1952699631,1952699810,1952699763,1952699604,1952699946,1952699958,1952699769,1952699983,1952699991,1952699860,1952699954,1952699658,1952699785,1952699907,1952699911,1952699976,1952699787,1952699773,1952699901,1952699659,1952699832,1952700010,1952699669,1952699885,1952699879,1952699920,1952699998,1952699801,1952699648,1952699834,1952699610,1952699771,1952699858,1952699591,1952699608,1952699692,1952699974,1952699619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,184757084,41.472075,22.0306452,1952699618,1952699863,1952699712,1952699615,1952699984,1952699618,,,,,,,,,,,,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,184757085,41.4850524,22.0361041,1952699655,1952699656,1952699682,1952699734,1952699909,1952699614,1952699689,1952699985,1952699672,1952699962,1952699740,1952699751,1952699986,1952699759,1952699696,1952699637,1952699655,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,184758521,41.8015937,21.8972752,1952708505,1952708514,1952708502,1952708509,1952708503,1952708521,1952708512,1952708517,1952708516,1952708513,1952708510,1952708520,1952708506,1952708498,1952708511,1952708519,1952708507,1952708508,1952708504,1952708500,1952708495,1952708518,1952708505,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,184915392,41.7711654,22.1276759,1954842954,1954842987,1954843140,1954843092,1954843083,1954843169,1954842926,1954843191,1954842871,1954842952,1954843142,1954842942,1954842909,1954843100,1954843020,1954843144,1954842877,1954843167,1954843022,1954842972,1954843138,1954842929,1954843024,1954843165,1954842876,1954842959,1954843066,1954842989,1954842869,1954842907,vineyard,1954842966,1954843060,1954843005,1954843055,1954842914,1954842938,1954843084,1954843091,1954843097,1954843070,1954843094,1954842970,1954842943,1954843103,1954843154,1954842922,1954842852,1954843157,8485101158,1954842857,1954842883,1954842954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,185741927,41.7766924,21.8800932,1964069969,1964069917,1964069961,1964069936,1964069969,,,,,,,,,,,,,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,185741928,41.7817927,21.8945235,1964069890,1964069896,1964069967,1964069993,1964070034,1964069980,1964069929,1964069890,,,,,,,,,,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,185741929,41.7769165,21.8838805,1964069946,1964069953,1964069955,1964069892,1964069913,1964069921,1964069946,,,,,,,,,,,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,185741931,41.7767925,21.8818152,1964070012,1964069997,1964069886,1964069978,1964070012,,,,,,,,,,,,,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,185743145,41.7960279,21.957086,1964083787,1964083786,1964083789,1964083784,1964083783,1964084039,1964083743,1964084198,1964083781,1964083949,1964083734,1964084221,1964084037,1964083848,1964084196,1964083727,1964084015,1964083722,1964084031,1964083732,1964083850,1964084026,1964084021,1964084267,1964083863,1964084025,1964084022,1964084073,1964083852,1964084029,vineyard,1964083890,1964083887,1964083986,1964083787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,185743147,41.8021665,21.9504422,1964083892,1964083811,1964083790,1964084007,1964084003,1964084244,1964084192,1964084034,1964083778,1964084079,1964084083,1964084082,1964084027,1964084121,1964084117,1964084115,1964084111,1964084102,1964084101,1964083937,1964083936,1964083935,1964083788,1964083892,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,185743149,41.8057415,21.9537252,1964083900,1964083966,1964083964,1964084129,1964083769,1964083768,1964083900,,,,,,,,,,,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,191428412,41.7671574,22.2207908,2020030537,2020030614,2020030520,2020030585,2020030547,1940481714,2020030646,2020030693,2020030669,2020030662,2020030599,2020030588,2020030631,2020030594,2020030622,2020030579,2020030659,2020030609,2020030610,2020030576,2020030674,2020030626,2020030604,2020030601,2020030642,2020030667,2020030641,2020030586,2020030638,2020030533,vineyard,2020030615,2020030678,2020030514,2020030675,2020030598,2020030679,2020030620,2020030605,2020030701,2020030569,2020030517,2020030618,2020030581,2020030665,2020030555,2020030578,2020030543,2020030644,2020030635,2020030634,2020030563,2020030593,2020030561,2020030629,2020030527,2020030660,2020030567,2020030515,2020030666,2020030590,2020030597,2020030541,2020030551,2020030553,2020030583,2020030648,2020030529,2020030516,2020030607,2020030611,2020030577,2020030524,2020030602,2020030518,2020030584,2020030684,2020030592,2020030628,2020030687,2020030639,2020030540,2020030560,2020030633,2020030677,2020030559,2020030591,2020030573,2020030670,2020030565,2020030589,2020030668,2020030621,2020030558,2020030545,2020030617,2020030645,2020030549,2020030681,2020030595,2020030612,2020030632,2020030548,2020030544,2020030550,2020030522,2020030539,2020030680,2020030664,2020030683,2020030673,2020030663,2020030568,2020030623,2020030627,2020030562,2020030570,2020030564,2020030521,2020030603,2020030556,2020030637,2020030606,2020030656,2020030535,2020030525,2020030580,2020030652,2020030572,2020030554,2020030630,2020030654,2020030608,2020030546,2020030596,2020030661,2020030671,2020030619,2020030655,2020030685,2020030650,2020030536,2020030636,2020030616,2020030542,2020030682,2020030531,2020030537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,195604194,41.2639596,22.4761766,2060246402,2060246420,2060246405,2060246390,2060246414,2060246408,2060246398,2060246411,2060246417,2060246430,2060246402,,,,,,,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,209778775,41.2508954,22.6529611,2199601702,2199602010,2199602063,2199602113,2199602106,2199601759,2199601517,2199601486,2199601731,2199601929,2199601821,2199601996,2199601823,2199601857,2199601767,2199601770,2199601951,2199601237,2199601702,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,209778783,41.2326383,22.6717687,2199601343,2199601340,2199601476,2199602101,2199601686,2199601277,2199601632,2199601493,2199601969,2199601319,2199602108,2199601271,2199601652,2199601435,2199601404,2199602016,2199601321,2199601837,2199601978,2199601924,2199601902,2199601799,2199602041,2199601484,2199601880,2199601703,2199601830,2199601698,2199690119,2199689688,vineyard,2199601299,2199601472,2199601454,2199601722,2199601643,2199601301,2199601656,2199601402,2199601339,2199601649,2199601365,2199602066,2199602002,2199601638,2199601437,2199601416,2199601819,2199601603,2199601343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
